Date,Close
2012-01-24,25.540001
2012-01-25,25.73
2012-01-26,25.5
2012-01-27,25.68
2012-01-30,25.370001
2012-01-31,25.540001
2012-02-01,26.07
2012-02-02,26.17
2012-02-03,26.42
2012-02-06,26.209999
2012-02-07,26.290001
2012-02-08,26.530001
2012-02-09,26.49
2012-02-10,26.1
2012-02-13,26.440001
2012-02-14,26.200001
2012-02-15,26.290001
2012-02-16,26.48
2012-02-17,26.530001
2012-02-21,26.48
2012-02-22,26.59
2012-02-23,26.530001
2012-02-24,26.75
2012-02-27,26.549999
2012-02-28,26.76
2012-02-29,26.559999
2012-03-01,26.700001
2012-03-02,26.76
2012-03-05,26.49
2012-03-06,25.790001
2012-03-07,26
2012-03-08,26.34
2012-03-09,26.379999
2012-03-12,26.190001
2012-03-13,26.549999
2012-03-14,26.360001
2012-03-15,26.540001
2012-03-16,26.540001
2012-03-19,26.280001
2012-03-20,26
2012-03-21,26.09
2012-03-22,25.9
2012-03-23,26.07
2012-03-26,26.23
2012-03-27,26.209999
2012-03-28,25.91
2012-03-29,25.82
2012-03-30,26.08
2012-04-02,26.25
2012-04-03,26
2012-04-04,25.75
2012-04-05,25.799999
2012-04-09,25.5
2012-04-10,25.18
2012-04-11,25.51
2012-04-12,25.799999
2012-04-13,25.68
2012-04-16,25.51
2012-04-17,25.549999
2012-04-18,25.43
2012-04-19,25.389999
2012-04-20,25.540001
2012-04-23,25.040001
2012-04-24,25.040001
2012-04-25,25.09
2012-04-26,25.08
2012-04-27,25.23
2012-04-30,25.280001
2012-05-01,25.43
2012-05-02,25.35
2012-05-03,25.200001
2012-05-04,24.969999
2012-05-07,24.950001
2012-05-08,24.709999
2012-05-09,24.5
2012-05-10,24.610001
2012-05-11,24.379999
2012-05-14,23.75
2012-05-15,23.610001
2012-05-16,23.450001
2012-05-17,23.27
2012-05-18,23.129999
2012-05-22,23.43
2012-05-23,23.34
2012-05-24,23.26
2012-05-25,23.209999
2012-05-28,23.200001
2012-05-29,23.77
2012-05-30,23.48
2012-05-31,23.65
2012-06-01,23.200001
2012-06-04,23.190001
2012-06-05,23.309999
2012-06-06,23.74
2012-06-07,23.99
2012-06-08,23.639999
2012-06-11,23.5
2012-06-12,23.709999
2012-06-13,23.77
2012-06-14,23.76
2012-06-15,24.02
2012-06-18,24.290001
2012-06-19,24.49
2012-06-20,24.4
2012-06-21,23.92
2012-06-22,23.780001
2012-06-25,23.52
2012-06-26,23.620001
2012-06-27,23.74
2012-06-28,23.639999
2012-06-29,24.34
2012-07-03,24.74
2012-07-04,25
2012-07-05,24.68
2012-07-06,24.25
2012-07-09,24.15
2012-07-10,24.16
2012-07-11,24.07
2012-07-12,23.67
2012-07-13,23.98
2012-07-16,23.950001
2012-07-17,24.190001
2012-07-18,24.110001
2012-07-19,24.219999
2012-07-20,23.98
2012-07-23,23.52
2012-07-24,23.48
2012-07-25,23.450001
2012-07-26,23.83
2012-07-27,24.07
2012-07-30,24.190001
2012-07-31,24.200001
2012-08-01,24.23
2012-08-02,23.950001
2012-08-03,24.52
2012-08-07,24.66
2012-08-08,24.620001
2012-08-09,24.68
2012-08-10,24.790001
2012-08-13,24.58
2012-08-14,24.6
2012-08-15,24.469999
2012-08-16,24.68
2012-08-17,24.52
2012-08-20,24.549999
2012-08-21,24.549999
2012-08-22,24.58
2012-08-23,24.43
2012-08-24,24.34
2012-08-27,24.18
2012-08-28,24.040001
2012-08-29,23.940001
2012-08-30,23.74
2012-08-31,23.77
2012-09-04,23.73
2012-09-05,23.620001
2012-09-06,24.02
2012-09-07,24.389999
2012-09-10,24.18
2012-09-11,24.219999
2012-09-12,24.4
2012-09-13,24.84
2012-09-14,25.200001
2012-09-17,25.059999
2012-09-18,25.049999
2012-09-19,25.07
2012-09-20,24.959999
2012-09-21,25.09
2012-09-24,24.83
2012-09-25,24.530001
2012-09-26,24.5
2012-09-27,24.809999
2012-09-28,24.700001
2012-10-01,24.950001
2012-10-02,24.860001
2012-10-03,24.92
2012-10-04,24.940001
2012-10-05,24.889999
2012-10-09,24.51
2012-10-10,24.42
2012-10-11,24.6
2012-10-12,24.469999
2012-10-15,24.67
2012-10-16,25.08
2012-10-17,25.1
2012-10-18,25.18
2012-10-19,24.98
2012-10-22,25.23
2012-10-23,24.68
2012-10-24,24.879999
2012-10-25,24.99
2012-10-26,24.91
2012-10-29,25.1
2012-10-30,25.15
2012-10-31,24.98
2012-11-01,25.219999
2012-11-02,25.02
2012-11-05,25.15
2012-11-06,25.26
2012-11-07,25.030001
2012-11-08,24.799999
2012-11-09,24.879999
2012-11-12,24.91
2012-11-13,24.73
2012-11-14,24.440001
2012-11-15,24.440001
2012-11-16,24.459999
2012-11-19,24.77
2012-11-20,24.690001
2012-11-21,24.719999
2012-11-22,24.85
2012-11-23,25.07
2012-11-26,24.99
2012-11-27,24.9
2012-11-28,24.9
2012-11-29,25.139999
2012-11-30,25.1
2012-12-03,25.16
2012-12-04,25.209999
